n,k,t,scale,MW
DE0,ocgt,2021-02-01T06:00:00,1.0,0.0
DE0,ocgt,2021-02-01T09:00:00,1.0,0.0
DE0,ocgt,2021-02-01T12:00:00,1.0,0.0
DE0,ocgt,2021-02-01T15:00:00,1.0,0.0
DE0,ocgt,2021-02-01T18:00:00,1.0,0.0
DE0,ocgt,2021-02-01T21:00:00,1.0,0.0
DE0,ocgt,2021-02-02T00:00:00,1.0,0.0
DE0,ocgt,2021-02-02T03:00:00,1.0,0.0
DE0,ocgt,2021-02-02T06:00:00,1.0,0.0
DE0,ocgt,2021-02-02T09:00:00,1.0,0.0
DE0,ocgt,2021-02-02T12:00:00,1.0,0.0
DE0,ocgt,2021-02-02T15:00:00,1.0,0.0
DE0,ocgt,2021-02-02T18:00:00,1.0,0.0
DE0,ocgt,2021-02-02T21:00:00,1.0,0.0
DE0,ocgt,2021-02-03T00:00:00,1.0,0.0
DE0,ocgt,2021-02-03T03:00:00,1.0,0.0
DE0,ocgt,2021-02-03T06:00:00,1.0,0.0
DE0,ocgt,2021-02-03T09:00:00,1.0,0.0
DE0,ocgt,2021-02-03T12:00:00,1.0,0.0
DE0,ocgt,2021-02-03T15:00:00,1.0,0.0
DE0,ocgt,2021-02-03T18:00:00,1.0,0.0
DE0,ocgt,2021-02-03T21:00:00,1.0,0.0
DE0,ocgt,2021-02-04T00:00:00,1.0,0.0
DE0,ocgt,2021-02-04T03:00:00,1.0,0.0
DE0,ocgt,2021-02-04T06:00:00,1.0,0.0
DE0,ocgt,2021-02-04T09:00:00,1.0,0.0
DE0,ocgt,2021-02-04T12:00:00,1.0,0.0
DE0,ocgt,2021-02-04T15:00:00,1.0,0.0
DE0,ocgt,2021-02-04T18:00:00,1.0,0.0
DE0,ocgt,2021-02-04T21:00:00,1.0,0.0
DE0,ocgt,2021-02-05T00:00:00,1.0,0.0
DE0,ocgt,2021-02-05T03:00:00,1.0,0.0
DE0,ocgt,2021-02-05T06:00:00,1.0,0.0
DE0,ocgt,2021-02-05T09:00:00,1.0,0.0
DE0,ocgt,2021-02-05T12:00:00,1.0,0.0
DE0,ocgt,2021-02-05T15:00:00,1.0,0.0
DE0,ocgt,2021-02-05T18:00:00,1.0,0.0
DE0,ocgt,2021-02-05T21:00:00,1.0,0.0
DE0,ocgt,2021-02-06T00:00:00,1.0,0.0
DE0,ocgt,2021-02-06T03:00:00,1.0,0.0
DE0,ocgt,2021-02-06T06:00:00,1.0,0.0
